system:index,areaforest,arealoss,fips,.geo
0,3.4252520727239043E12,2.3620934290617685E11,BR,
1,4.3030192757594666E10,1.1669298210905098E10,CB,
2,5.4756002166758624E11,1.405860802316113E10,CO,
3,2.122580879134872E11,3.00852471916519E9,CF,
4,1.0461248006967233E12,4.446306461230119E10,CG,
5,1.9060535865643852E10,6.564301849266968E8,ET,
6,9.316371366854965E11,9.227572970790256E10,ID,
7,6.4930774909175E9,4.540051036640412E8,KE,
8,8.361900368213809E10,7.135241746063408E9,LA,
9,4.858450987842762E10,8.147244681245419E9,MA,
10,5.38772668226687E7,2382258.119140625,MI,
11,1.1992909931406724E9,1.0028073165169773E8,MZ,
12,3.2417509889158417E11,6.807708592042103E9,PP,
13,3.490616043291856E10,9.602301317493141E9,PA,
14,6.914463833825454E11,1.835574582661636E10,PE,
15,2.688691129768148E9,2.2518658825104216E8,SL,
16,7.395684924837652E9,2.6145825033280793E8,TZ,
17,3.3080935120101476E9,2.1981331288260666E8,ZA,
